Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2011;2011/12;Sem Informação;"""ALOJAMENTO""";RUA DAS GARDÊNIAS, 367;SI;JARDIM PARAÍSO;Valinhos;São Paulo
2011;2011/08;Sem Informação;"""CONFECÇÃO A""";RUA IMIGRANTES, 525;SI;JARDIM IPIRANGA;Americana;São Paulo
2010;2010/03;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2011;2011/04;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2011;2011/01;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2010;2010/07;00.395.787/0001-38;7 REGISTRO CIVIL DAS PESSOAS NATURAIS SUBDT.CONSOL;AV ANGELICA 2168;01228-200;CONSOLACAO;São Paulo;São Paulo
2011;2011/11;60.048.196/0001-16;7. TABELIONATO DE PROTESTO DE TITULOS;R DA GLORIA 152 3 ANDAR;01510-000;LIBERDADE;São Paulo;São Paulo
2008;2008/07;60.339.611/0001-90;7.7.7. COML. SERGIO YOO LTDA;R BARAO DE PARANAPIACABA 24 1 E 2 ANDAR;01004-000;CENTRO;São Paulo;São Paulo
2011;2011/02;58.946.757/0001-52;70 VEE MALHARIAS LTDA ME;AV ANTONIO DE SOUZA NOSCHESE,311/321;05328-000;PARQUE CONTINENTAL;São Paulo;São Paulo
2010;2010/09;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA;R LUIZ MIALHE,23;13370-000;CENTRO;Rafard;São Paulo
2011;2011/06;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA;RUA LUIS MIALHE, 023;13370-000;CENTRO;Rafard;São Paulo
2008;2008/10;01.930.586/0001-56;BSF SERVIÇOS EM GRUAS LTDA;RUA LUIZ MIALHE, 23;13370-000;CENTRO;Rafard;São Paulo
2009;2009/11;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA - EPP;R LUIZ MIALHE 23;13370-000;CENTRO;Rafard;São Paulo
2010;2010/01;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA - EPP;RUA JOSÉ VICENTE DE BARROS, 1802;12061-001;AREÃO;Taubaté;São Paulo
2009;2009/08;01.930.586/0001-56;BSF SERVIçOS EN GRUAS LTDA - EPP;RUA LUIZ MIALHE, 23;13370-000;CENTRO;Rafard;São Paulo
2008;2008/10;59.944.710/0001-12;BSH BRASIL SERVICE & HOLDING LTDA;AV BRIGADEIRO FARIA LIMA 1768 1 ANDAR CONJUNTO 1-A;01451-000;JARDIM PAULISTANO;São Paulo;São Paulo
2009;2009/05;60.736.279/0012-50;BSH CONTINENTAL ELETRODOMESTICOS LTDA;PQ INDUSTRIAL BSH CONTINENTAL S/Nº;13184-970;SAO CAMILO;Hortolândia;São Paulo
2009;2009/06;44.000.099/0001-05;BSI INFORMATICA E SISTEMAS DE EDUCACAO LTDA;EST MUNICIPAL CAPUAVA 1000;06715-125;MOINHO VELHO;Cotia;São Paulo
2009;2009/03;59.948.570/0006-65;BSI TECNOLOGIA LTDA;RUA MAJOR QUEDINHO 111, AND.24, CJ2405;01050-904;CENTRO;São Paulo;São Paulo
2010;2010/07;59.948.570/0007-46;BSI TECNOLOGIA LTDA;RUA MAJOR QUEDINHO, 111- 15. ANDAR;01050-904;Sem Informação;São Paulo;São Paulo
2011;2011/03;59.948.570/0007-46;BSI TECNOLOGIA LTDA;RUA MAJOR QUEDINHO, 111- 15. ANDAR;01050-904;CENTRO;São Paulo;São Paulo
2009;2009/03;59.948.570/0001-50;BSI TECNOLOGIA LTDA.;CALCADA DAS MAGNOLIAS,38;06715-725;ALPHAVILLE;Cotia;São Paulo
2010;2010/11;59.948.570/0001-50;BSI TECNOLOGIA LTDA.;ESTRADA DO CAPUAVA, 1000;06715-725;CH ONDAS VERDES;Cotia;São Paulo
2011;2011/03;59.948.570/0001-50;BSI TECNOLOGIA LTDA.;ESTRADA DO CAPUAVA, 1000;06715-725;CH ONDAS VERDES;Cotia;São Paulo
2012;2012/02;59.948.570/0001-50;BSI TECNOLOGIA LTDA.;ESTRADA DO CAPUAVA,1000;06715-725;CHACARA ONDAS VERDES;Cotia;São Paulo
