Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2011;2011/12;Sem Informação;"""ALOJAMENTO""";RUA DAS GARDÊNIAS, 367;SI;JARDIM PARAÍSO;Valinhos;São Paulo
2011;2011/08;Sem Informação;"""CONFECÇÃO A""";RUA IMIGRANTES, 525;SI;JARDIM IPIRANGA;Americana;São Paulo
2010;2010/03;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2011;2011/04;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2011;2011/01;07.479.836/0001-60;7 IND DE SALTOS E SOLADOS INJETADOS L ME;DESEMB JOAO BATISTA ARRUDA SAMPAIO,2880;17210-780;JRD ALVORADA;Jaú;São Paulo
2010;2010/07;00.395.787/0001-38;7 REGISTRO CIVIL DAS PESSOAS NATURAIS SUBDT.CONSOL;AV ANGELICA 2168;01228-200;CONSOLACAO;São Paulo;São Paulo
2011;2011/11;60.048.196/0001-16;7. TABELIONATO DE PROTESTO DE TITULOS;R DA GLORIA 152 3 ANDAR;01510-000;LIBERDADE;São Paulo;São Paulo
2008;2008/07;60.339.611/0001-90;7.7.7. COML. SERGIO YOO LTDA;R BARAO DE PARANAPIACABA 24 1 E 2 ANDAR;01004-000;CENTRO;São Paulo;São Paulo
2011;2011/02;58.946.757/0001-52;70 VEE MALHARIAS LTDA ME;AV ANTONIO DE SOUZA NOSCHESE,311/321;05328-000;PARQUE CONTINENTAL;São Paulo;São Paulo
2010;2010/09;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA;R LUIZ MIALHE,23;13370-000;CENTRO;Rafard;São Paulo
2011;2011/06;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA;RUA LUIS MIALHE, 023;13370-000;CENTRO;Rafard;São Paulo
2008;2008/10;01.930.586/0001-56;BSF SERVIÇOS EM GRUAS LTDA;RUA LUIZ MIALHE, 23;13370-000;CENTRO;Rafard;São Paulo
2009;2009/11;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA - EPP;R LUIZ MIALHE 23;13370-000;CENTRO;Rafard;São Paulo
2010;2010/01;01.930.586/0001-56;BSF SERVICOS EM GRUAS LTDA - EPP;RUA JOSÉ VICENTE DE BARROS, 1802;12061-001;AREÃO;Taubaté;São Paulo
2009;2009/08;01.930.586/0001-56;BSF SERVIÇOS EN GRUAS LTDA - EPP;RUA LUIZ MIALHE, 23;13370-000;CENTRO;Rafard;São Paulo
2008;2008/10;59.944.710/0001-12;BSH BRASIL SERVICE & HOLDING LTDA;AV BRIGADEIRO FARIA LIMA 1768 1 ANDAR CONJUNTO 1-A;01451-000;JARDIM PAULISTANO;São Paulo;São Paulo
2008;2008/06;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;R. ALEXANDRE DUMAS, 2051;04717-004;VILA GERTUDES;São Paulo;São Paulo
2008;2008/12;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS, 2051;04717-004;CHAC. SANTO ANTONIO;São Paulo;São Paulo
2008;2008/09;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS, 2051;04717-004;CHAC. SANTO ANTONIO;São Paulo;São Paulo
2010;2010/06;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS,2051;04717-004;CHAC SANTO ANTONIO;São Paulo;São Paulo
2010;2010/12;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS,2051;04717-004;CHAC SANTO ANTONIO;São Paulo;São Paulo
2010;2010/08;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS,2051;04717-004;CHAC SANTO ANTONIO;São Paulo;São Paulo
2012;2012/05;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS,2051;04717-004;CHAC SANTO ANTONIO;São Paulo;São Paulo
2009;2009/09;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS,2051;04717-004;CHAC SANTO ANTONIO;São Paulo;São Paulo
2009;2009/08;96.534.094/0001-58;ACCENTURE DO BRASIL LTDA;RUA ALEXANDRE DUMAS,2051;04717-004;CHAC SANTO ANTONIO;São Paulo;São Paulo
